,date,iso3,admin0_name,admin1_hasc,admin1_name,confirmed,death,recovered
1,2020-05-19,ARG,Argentina,AR.BA,Buenos Aires,36850,0,120
2,2020-05-19,ARG,Argentina,AR.CT,Catamarca,0,0,0
3,2020-05-19,ARG,Argentina,AR.CC,Chaco,4347,0,56
4,2020-05-19,ARG,Argentina,AR.CH,Chubut,291,0,0
5,2020-05-19,ARG,Argentina,AR.DF,Ciudad de Buenos Aires,19368,371,301
6,2020-05-19,ARG,Argentina,AR.CB,Cordoba,10976,0,38
7,2020-05-19,ARG,Argentina,AR.CN,Corrientes,1774,0,5
8,2020-05-19,ARG,Argentina,AR.ER,Entre Rios,908,0,10
9,2020-05-19,ARG,Argentina,AR.FM,Formosa,478,0,0
10,2020-05-19,ARG,Argentina,AR.JY,Jujuy,1434,0,3
11,2020-05-19,ARG,Argentina,AR.LP,La Pampa,187,0,0
12,2020-05-19,ARG,Argentina,AR.LR,La Rioja,926,0,2
13,2020-05-19,ARG,Argentina,AR.MZ,Mendoza,1540,0,5
14,2020-05-19,ARG,Argentina,AR.MN,Misiones,792,0,0
15,2020-05-19,ARG,Argentina,AR.NQ,Neuquen,1336,0,2
16,2020-05-19,ARG,Argentina,AR.RN,Rio Negro,2040,0,7
17,2020-05-19,ARG,Argentina,AR.SA,Salta,1044,0,0
18,2020-05-19,ARG,Argentina,AR.SJ,San Juan,461,0,0
19,2020-05-19,ARG,Argentina,AR.SL,San Luis,281,0,6
20,2020-05-19,ARG,Argentina,AR.SC,Santa Cruz,0,0,5
21,2020-05-19,ARG,Argentina,AR.SF,Santa Fe,6880,0,27
22,2020-05-19,ARG,Argentina,AR.SE,Santiago del Estero,0,0,3
23,2020-05-19,ARG,Argentina,AR.TF,Tierra del Fuego,0,0,36
24,2020-05-19,ARG,Argentina,AR.TM,Tucuman,2968,0,3
25,2020-05-19,AUS,Australia,AU.AC,Australian Capital Territory,107,3,104
26,2020-05-19,AUS,Australia,AU.NS,New South Wales,3081,47,2631
27,2020-05-19,AUS,Australia,AU.NT,Northern Territory,29,0,27
28,2020-05-19,AUS,Australia,AU.QL,Queensland,1058,6,1040
29,2020-05-19,AUS,Australia,AU.SA,South Australia,439,4,435
30,2020-05-19,AUS,Australia,AU.TS,Tasmania,228,13,195
31,2020-05-19,AUS,Australia,AU.VI,Victoria,1573,18,1454
32,2020-05-19,AUS,Australia,AU.WA,Western Australia,557,9,545
33,2020-05-19,AUT,Austria,AT.TR,Tirol,3532,107,3385
34,2020-05-19,AUT,Austria,AT.SZ,Salzburg,1219,37,1183
35,2020-05-19,AUT,Austria,AT.ST,Steiermark,1827,142,1563
36,2020-05-19,AUT,Austria,AT.NO,Niederösterreich,2789,99,2529
37,2020-05-19,AUT,Austria,AT.WI,Wien,2964,144,2252
38,2020-05-19,AUT,Austria,AT.KA,Kärnten,411,13,392
39,2020-05-19,AUT,Austria,AT.VO,Vorarlberg,893,19,859
40,2020-05-19,AUT,Austria,AT.OO,Oberösterreich,2288,60,2199
41,2020-05-19,AUT,Austria,AT.BU,Burgenland,338,11,316
45,2020-05-19,BRA,Brazil,BR.AC,Acre,2482,72,
46,2020-05-19,BRA,Brazil,BR.AP,Amapá,4310,136,
47,2020-05-19,BRA,Brazil,BR.AM,Amazonas,22132,1491,
48,2020-05-19,BRA,Brazil,BR.PB,Pará,16295,1519,
49,2020-05-19,BRA,Brazil,BR.RO,Rondônia,2257,87,
50,2020-05-19,BRA,Brazil,BR.RR,Roraima,1985,61,
51,2020-05-19,BRA,Brazil,BR.TO,Tocantins,1646,38,
52,2020-05-19,BRA,Brazil,BR.AL,Alagoas,4316,231,
53,2020-05-19,BRA,Brazil,BR.BA,Bahia,11013,326,
54,2020-05-19,BRA,Brazil,BR.CE,Ceará,28112,1856,
55,2020-05-19,BRA,Brazil,BR.MA,Maranhão,14198,604,
56,2020-05-19,BRA,Brazil,BR.PA,Paraíba,5300,219,
57,2020-05-19,BRA,Brazil,BR.PE,Pernambuco,21242,1741,
58,2020-05-19,BRA,Brazil,BR.PI,Piauí,2440,85,
59,2020-05-19,BRA,Brazil,BR.RN,Rio Grande do Norte,3483,160,
60,2020-05-19,BRA,Brazil,BR.SE,Sergipe,3967,63,
61,2020-05-19,BRA,Brazil,BR.ES,Espirito Santo,7693,325,
62,2020-05-19,BRA,Brazil,BR.MG,Minas Gerais,4977,167,
63,2020-05-19,BRA,Brazil,BR.RJ,Rio de Janeiro,27805,3079,
64,2020-05-19,BRA,Brazil,BR.SC,São Paulo,65995,5147,
65,2020-05-19,BRA,Brazil,BR.PR,Paraná,2481,129,
66,2020-05-19,BRA,Brazil,BR.RS,Rio Grande do Sul,3750,151,
67,2020-05-19,BRA,Brazil,BR.SP,Santa Catarina,5413,91,
68,2020-05-19,BRA,Brazil,BR.DF,Distrito Federal,4853,72,
69,2020-05-19,BRA,Brazil,BR.GO,Goiás,1846,73,
70,2020-05-19,BRA,Brazil,BR.MT,Mato Grosso,995,32,
71,2020-05-19,BRA,Brazil,BR.MS,Mato Grosso do Sul,642,16,
72,2020-05-19,CAN,Canada,CA.AB,Alberta,6716,128,
73,2020-05-19,CAN,Canada,CA.BC,British Columbia,2446,146,
75,2020-05-19,CAN,Canada,CA.MB,Manitoba,290,7,
76,2020-05-19,CAN,Canada,CA.NB,New Brunswick,120,0,
77,2020-05-19,CAN,Canada,CA.NF,Newfoundland and Labrador,260,3,
78,2020-05-19,CAN,Canada,CA.NS,Nova Scotia,1044,56,
79,2020-05-19,CAN,Canada,CA.ON,Ontario,24755,2032,
80,2020-05-19,CAN,Canada,CA.PE,Prince Edward Island,27,0,
81,2020-05-19,CAN,Canada,CA.QC,Quebec,44206,3648,
82,2020-05-19,CAN,Canada,CA.SK,Saskatchewan,599,7,
84,2020-05-19,CAN,Canada,CA.NT,Northwest Territories,5,0,
85,2020-05-19,CAN,Canada,CA.YT,Yukon,11,0,
100,2020-05-19,CHL,Chile,CL.TP,Tarapacá,1109,4,
86,2020-05-19,CHL,Chile,CL.AN,Antofagasta,1648,16,
89,2020-05-19,CHL,Chile,CL.AT,Atacama,158,0,
92,2020-05-19,CHL,Chile,CL.CO,Coquimbo,239,2,
101,2020-05-19,CHL,Chile,CL.VS,Valparaíso,1639,32,
99,2020-05-19,CHL,Chile,CL.LI,O'Higgins,442,7,
96,2020-05-19,CHL,Chile,CL.ML,Maule,640,15,
91,2020-05-19,CHL,Chile,CL.BI,Biobío,1172,9,
87,2020-05-19,CHL,Chile,CL.AR,Araucanía,1666,44,
93,2020-05-19,CHL,Chile,CL.LG,Los Lagos,656,12,
90,2020-05-19,CHL,Chile,CL.AI,Aysén,8,0,
95,2020-05-19,CHL,Chile,CL.MA,Magallanes,972,17,
97,2020-05-19,CHL,Chile,CL.RM,Santiago Metropolitan,37591,318,
94,2020-05-19,CHL,Chile,CL.LR,Los Ríos,229,7,
88,2020-05-19,CHL,Chile,CL.AP,Arica y Parinacota,432,7,
98,2020-05-19,CHL,Chile,CL.NB,Ñuble,988,21,
244,2020-05-19,DEU,Germany,DE.RP,Rheinland-Pfalz,6529,222,
245,2020-05-19,DEU,Germany,DE.SH,Schleswig-Holstein,3014,131,
247,2020-05-19,DEU,Germany,DE.HE,Hessen,9483,446,
248,2020-05-19,DEU,Germany,DE.BW,Baden-Württemberg,34115,1672,
249,2020-05-19,DEU,Germany,DE.BY,Bayern,45766,2339,
250,2020-05-19,DEU,Germany,DE.NW,Nordrhein-Westfalen,36766,1537,
251,2020-05-19,DEU,Germany,DE.HB,Bremen,1256,38,
252,2020-05-19,DEU,Germany,DE.HH,Hamburg,5042,236,
253,2020-05-19,DEU,Germany,DE.NI,Niedersachsen,11288,557,
254,2020-05-19,DEU,Germany,DE.BE,Berlin,6507,186,
255,2020-05-19,DEU,Germany,DE.BR,Brandenburg,3193,151,
256,2020-05-19,DEU,Germany,DE.SN,Sachsen,5150,198,
257,2020-05-19,DEU,Germany,DE.TH,Thüringen,2760,149,
258,2020-05-19,DEU,Germany,DE.SL,Saarland,2703,154,
259,2020-05-19,DEU,Germany,DE.MV,Mecklenburg-Vorpommern,755,20,
260,2020-05-19,DEU,Germany,DE.ST,Sachsen-Anhalt,1680,54,
261,2020-05-19,IND,India,IN.KL,Kerala,469,,
262,2020-05-19,IND,India,IN.DD,Delhi,2918,,
263,2020-05-19,IND,India,IN.TG,Telangana,1001,,
264,2020-05-19,IND,India,IN.RJ,Rajasthan,2195,,
265,2020-05-19,IND,India,IN.HR,Haryana,296,,
266,2020-05-19,IND,India,IN.UP,Uttar Pradesh,1903,,
267,2020-05-19,IND,India,IN.LD,Ladakh,20,,
268,2020-05-19,IND,India,IN.TN,Tamil Nadu,1885,,
269,2020-05-19,IND,India,IN.JK,Jammu and Kashmir,527,,
270,2020-05-19,IND,India,IN.KA,Karnataka,503,,
271,2020-05-19,IND,India,IN.MH,Maharashtra,8284,,
272,2020-05-19,IND,India,IN.PB,Punjab,324,,
273,2020-05-19,IND,India,IN.AP,Andhra Pradesh,1103,,
274,2020-05-19,IND,India,IN.UT,Uttarakhand,51,,
275,2020-05-19,IND,India,IN.OR,Odisha,103,,
276,2020-05-19,IND,India,IN.PY,Puducherry,8,,
277,2020-05-19,IND,India,IN.WB,West Bengal,611,,
278,2020-05-19,IND,India,IN.CH,Chandigarh,36,,
279,2020-05-19,IND,India,IN.CT,Chhattisgarh,37,,
280,2020-05-19,IND,India,IN.GJ,Gujarat,3301,,
281,2020-05-19,IND,India,IN.HP,Himachal Pradesh,40,,
282,2020-05-19,IND,India,IN.MP,Madhya Pradesh,2114,,
283,2020-05-19,IND,India,IN.BR,Bihar,277,,
284,2020-05-19,IND,India,IN.MN,Manipur,2,,
285,2020-05-19,IND,India,IN.MZ,Mizoram,1,,
286,2020-05-19,IND,India,IN.GA,Goa,7,,
287,2020-05-19,IND,India,IN.AN,Andaman and Nicobar Islands,33,,
288,2020-05-19,IND,India,IN.JH,Jharkhand,82,,
289,2020-05-19,IND,India,IN.AS,Assam,36,,
290,2020-05-19,IND,India,IN.AR,Arunachal Pradesh,1,,
292,2020-05-19,IND,India,IN.TR,Tripura,2,,
294,2020-05-19,IND,India,IN.ML,Meghalaya,12,,
297,2020-05-19,IDN,Indonesia,ID.AC,Aceh,18,,
298,2020-05-19,IDN,Indonesia,ID.SU,Sumatera Utara,235,,
299,2020-05-19,IDN,Indonesia,ID.SB,Sumatera Barat,420,,
300,2020-05-19,IDN,Indonesia,ID.RI,Riau,106,,
301,2020-05-19,IDN,Indonesia,ID.JA,Jambi,84,,
302,2020-05-19,IDN,Indonesia,ID.SL,Sumatera Selatan,597,,
303,2020-05-19,IDN,Indonesia,ID.BE,Bengkulu,67,,
304,2020-05-19,IDN,Indonesia,ID.LA,Lampung,84,,
306,2020-05-19,IDN,Indonesia,ID.KR,Kepulauan Riau,140,,
308,2020-05-19,IDN,Indonesia,ID.JR,Jawa Barat,1700,,
309,2020-05-19,IDN,Indonesia,ID.JT,Jawa Tengah,1175,,
311,2020-05-19,IDN,Indonesia,ID.JI,Jawa Timur,2377,,
312,2020-05-19,IDN,Indonesia,ID.BT,Banten,698,,
313,2020-05-19,IDN,Indonesia,ID.BA,Bali,363,,
314,2020-05-19,IDN,Indonesia,ID.NB,Nusa Tenggara Barat,375,,
315,2020-05-19,IDN,Indonesia,ID.NT,Nusa Tenggara Timur,71,,
316,2020-05-19,IDN,Indonesia,ID.KB,Kalimantan Barat,132,,
317,2020-05-19,IDN,Indonesia,ID.KT,Kalimantan Tengah,232,,
318,2020-05-19,IDN,Indonesia,ID.KS,Kalimantan Selatan,484,,
319,2020-05-19,IDN,Indonesia,ID.KM,Kalimantan Timur,258,,
321,2020-05-19,IDN,Indonesia,ID.SW,Sulawesi Utara,126,,
322,2020-05-19,IDN,Indonesia,ID.ST,Sulawesi Tengah,115,,
323,2020-05-19,IDN,Indonesia,ID.SE,Sulawesi Selatan,1064,,
324,2020-05-19,IDN,Indonesia,ID.SG,Sulawesi Tenggara,202,,
325,2020-05-19,IDN,Indonesia,ID.GO,Gorontalo,28,,
326,2020-05-19,IDN,Indonesia,ID.SR,Sulawesi Barat,77,,
327,2020-05-19,IDN,Indonesia,ID.MA,Maluku,107,,
328,2020-05-19,IDN,Indonesia,ID.MU,Maluku Utara,95,,
329,2020-05-19,IDN,Indonesia,ID.PA,Papua,389,,
330,2020-05-19,IDN,Indonesia,ID.IB,Papua Barat,105,,
331,2020-05-19,IRN,Iran,IR.QM,Qom,1178,,
332,2020-05-19,IRN,Iran,IR.TH,Tehran,5098,,
333,2020-05-19,IRN,Iran,IR.MN,Mazandaran,1700,,
334,2020-05-19,IRN,Iran,IR.AL,Alborz,1177,,
335,2020-05-19,IRN,Iran,IR.SM,Semnan,645,,
336,2020-05-19,IRN,Iran,IR.GI,Golestan,391,,
337,2020-05-19,IRN,Iran,IR.QZ,Qazvin,669,,
338,2020-05-19,IRN,Iran,IR.IL,Isfahan,1979,,
339,2020-05-19,IRN,Iran,IR.ES,Fars,505,,
340,2020-05-19,IRN,Iran,IR.HD,Hormozgan,148,,
341,2020-05-19,IRN,Iran,IR.KB,Kohgiluyeh and Boyer-Ahmad,73,,
342,2020-05-19,IRN,Iran,IR.CM,Chaharmahal and Bakhtiari,68,,
343,2020-05-19,IRN,Iran,IR.BS,Bushehr,55,,
344,2020-05-19,IRN,Iran,IR.FA,Gilan,1191,,
345,2020-05-19,IRN,Iran,IR.AR,Ardabil,289,,
346,2020-05-19,IRN,Iran,IR.EA,East Azerbaijan,813,,
347,2020-05-19,IRN,Iran,IR.WA,West Azerbaijan,395,,
348,2020-05-19,IRN,Iran,IR.KD,Kordestan,238,,
349,2020-05-19,IRN,Iran,IR.ZA,Zanjan,394,,
350,2020-05-19,IRN,Iran,IR.MK,Markazi,882,,
351,2020-05-19,IRN,Iran,IR.GO,Hamadan,175,,
352,2020-05-19,IRN,Iran,IR.KZ,Khuzestan,444,,
353,2020-05-19,IRN,Iran,IR.BK,Kermanshah,243,,
354,2020-05-19,IRN,Iran,IR.LO,Lorestan,476,,
355,2020-05-19,IRN,Iran,IR.HG,Ilam,183,,
356,2020-05-19,IRN,Iran,IR.KV,Razavi Khorasan,858,,
357,2020-05-19,IRN,Iran,IR.SB,Sistan and Baluchestan,134,,
358,2020-05-19,IRN,Iran,IR.YA,Yazd,725,,
359,2020-05-19,IRN,Iran,IR.KJ,South Khorasan,178,,
360,2020-05-19,IRN,Iran,IR.KE,Kerman,169,,
361,2020-05-19,IRN,Iran,IR.KS,North Khorasan,165,,
362,2020-05-19,IRL,Ireland,IE.DN,Dublin,11666,,
363,2020-05-19,IRL,Ireland,IE.CW,Carlow,146,,
364,2020-05-19,IRL,Ireland,IE.CN,Cavan,781,,
365,2020-05-19,IRL,Ireland,IE.CE,Clare,314,,
366,2020-05-19,IRL,Ireland,IE.DL,Donegal,475,,
367,2020-05-19,IRL,Ireland,IE.KE,Kildare,1361,,
368,2020-05-19,IRL,Ireland,IE.KK,Kilkenny,298,,
369,2020-05-19,IRL,Ireland,IE.LD,Longford,277,,
370,2020-05-19,IRL,Ireland,IE.LH,Louth,739,,
371,2020-05-19,IRL,Ireland,IE.MO,Mayo,547,,
372,2020-05-19,IRL,Ireland,IE.MH,Meath,778,,
373,2020-05-19,IRL,Ireland,IE.CK,Cork,1352,,
374,2020-05-19,IRL,Ireland,IE.RN,Roscommon,301,,
375,2020-05-19,IRL,Ireland,IE.LK,Limerick,601,,
376,2020-05-19,IRL,Ireland,IE.GY,Galway,418,,
377,2020-05-19,IRL,Ireland,IE.WW,Wicklow,656,,
378,2020-05-19,IRL,Ireland,IE.WH,Westmeath,655,,
379,2020-05-19,IRL,Ireland,IE.OY,Offaly,459,,
380,2020-05-19,IRL,Ireland,IE.KY,Kerry,307,,
381,2020-05-19,IRL,Ireland,IE.WX,Wexford,212,,
382,2020-05-19,IRL,Ireland,IE.TY,Tipperary,523,,
383,2020-05-19,IRL,Ireland,IE.SO,Sligo,129,,
384,2020-05-19,IRL,Ireland,IE.WD,Waterford,146,,
385,2020-05-19,IRL,Ireland,IE.LS,Laois,253,,
386,2020-05-19,IRL,Ireland,IE.LM,Leitrim,79,,
387,2020-05-19,IRL,Ireland,IE.MN,Monaghan,480,,
388,2020-05-19,ITA,Italy,IT.AB,Abruzzo,3197,389,1419
389,2020-05-19,ITA,Italy,IT.PU,Basilicata,393,27,282
390,2020-05-19,ITA,Italy,IT.BC,Trentino-Alto Adige,6945,746,5687
391,2020-05-19,ITA,Italy,IT.LB,Calabria,1153,95,676
392,2020-05-19,ITA,Italy,IT.CM,Campania,4707,399,2790
393,2020-05-19,ITA,Italy,IT.ER,Emilia Romagna,27314,3997,17987
394,2020-05-19,ITA,Italy,IT.FV,Friuli V. G.,3203,320,2283
395,2020-05-19,ITA,Italy,IT.LZ,Lazio,7505,640,3079
396,2020-05-19,ITA,Italy,IT.LG,Liguria,9257,1376,5617
397,2020-05-19,ITA,Italy,IT.LM,Lombardia,85481,15597,42593
398,2020-05-19,ITA,Italy,IT.MH,Marche,6675,986,3561
399,2020-05-19,ITA,Italy,IT.ML,Molise,422,22,188
400,2020-05-19,ITA,Italy,IT.PM,Piemonte,29727,3679,16413
401,2020-05-19,ITA,Italy,IT.SD,Puglia,4396,473,1982
402,2020-05-19,ITA,Italy,IT.SC,Sardegna,1354,126,887
403,2020-05-19,ITA,Italy,IT.TT,Sicilia,3403,268,1611
404,2020-05-19,ITA,Italy,IT.TC,Toscana,9968,992,6653
405,2020-05-19,ITA,Italy,IT.UM,Umbria,1427,74,1287
406,2020-05-19,ITA,Italy,IT.VD,Valle d'Aosta,1175,143,983
407,2020-05-19,ITA,Italy,IT.VN,Veneto,18997,1820,13423
408,2020-05-19,JPN,Japan,JP.HK,Hokkaido,1006,77,
409,2020-05-19,JPN,Japan,JP.AO,Aomori,27,1,
410,2020-05-19,JPN,Japan,JP.IW,Iwate,0,0,
411,2020-05-19,JPN,Japan,JP.MG,Miyagi,88,1,
412,2020-05-19,JPN,Japan,JP.AK,Akita,15,0,
413,2020-05-19,JPN,Japan,JP.YT,Yamagata,69,0,
414,2020-05-19,JPN,Japan,JP.FS,Fukushima,81,0,
415,2020-05-19,JPN,Japan,JP.IB,Ibaraki,168,9,
416,2020-05-19,JPN,Japan,JP.TC,Tochigi,62,0,
417,2020-05-19,JPN,Japan,JP.GM,Gunma,148,18,
418,2020-05-19,JPN,Japan,JP.ST,Saitama,987,46,
419,2020-05-19,JPN,Japan,JP.CH,Chiba,894,42,
420,2020-05-19,JPN,Japan,JP.TK,Tokyo,5070,244,
421,2020-05-19,JPN,Japan,JP.KN,Kanagawa,1281,68,
422,2020-05-19,JPN,Japan,JP.NI,Niigata,82,0,
423,2020-05-19,JPN,Japan,JP.TY,Toyama,227,20,
424,2020-05-19,JPN,Japan,JP.IS,Ishikawa,290,22,
425,2020-05-19,JPN,Japan,JP.FI,Fukui,122,8,
426,2020-05-19,JPN,Japan,JP.YN,Yamanashi,60,0,
427,2020-05-19,JPN,Japan,JP.NN,Nagano,76,0,
428,2020-05-19,JPN,Japan,JP.GF,Gifu,150,7,
429,2020-05-19,JPN,Japan,JP.SZ,Shizuoka,73,1,
430,2020-05-19,JPN,Japan,JP.AI,Aichi,503,34,
431,2020-05-19,JPN,Japan,JP.ME,Mie,44,1,
